VariableCode,RegionCode,YearCode,AggValue
hc,BRB,2013,2.81521153450012000
rgdpna,BRB,2013,3206.15673828125000000
rkna,BRB,2013,0.98725283145904500
rtfpna,BRB,2013,1.00051271915436000
labsh,BRB,2013,0.75056594610214200
emp,BRB,2014,0.12479999661445600
hc,BRB,2014,2.82029557228088000
rgdpna,BRB,2014,3202.10375976563000000
rkna,BRB,2014,1.00158536434174000
rtfpna,BRB,2014,1.00021874904633000
labsh,BRB,2014,0.75056594610214200
emp,BRB,2015,0.12819999456405600
hc,BRB,2015,2.82540321350098000
rgdpna,BRB,2015,3280.44262695313000000
rkna,BRB,2015,1.01982975006104000
rtfpna,BRB,2015,0.99337476491928100
labsh,BRB,2015,0.75056594610214200
emp,BRB,2016,0.13279999792575800
hc,BRB,2016,2.83053469657898000
